[000]    0.00-  16.72 (16.7s) gap 0.0  There is a name printed inside the Ethereum whitepaper that almost nobody can pronounce. That name is Yonatan Sampolinsky. This is the man whose math is cited in the Ethereum whitepaper. The man who looked at Bitcoin, the most secure network ever built, and said it was too slow.
[001]   17.08-  27.69 (10.6s) gap 0.4  then proved it on paper. He turned the blockchain into a block dag where blocks stop fighting and start stacking side by side. He took an idea off of a university chalkboard.
[002]   28.04-  30.25 ( 2.2s) gap 0.4  and launch it into a top crypto network.
[003]   30.67-  31.43 ( 0.8s) gap 0.4  no company.
[004]   31.78-  33.83 ( 2.1s) gap 0.3  No investors, no pre-mine.
[005]   34.17-  36.39 ( 2.2s) gap 0.3  Nothing but code. He's not a CEO.
[006]   36.71-  43.06 ( 6.4s) gap 0.3  He's not an influencer. He's a quiet academic from Israel who rewrote how blockchains agree on reality.
[007]   44.78-  47.35 ( 2.6s) gap 1.7  And while every other founder was selling you a dream.
[008]   47.91-  61.96 (14.1s) gap 0.6  This man was publishing the papers that other founders quote. So half of crypto calls him a generational genius. The other half calls him an overrated academic that the Casper community turned into a messiah. Today we're not picking a side and shouting it.
[009]   62.81-  64.57 ( 1.8s) gap 0.8  We put the receipts on the table.
[010]   64.88-  67.70 ( 2.8s) gap 0.3  His story, Ghost Ethereum Spectre
[011]   68.21-  71.63 ( 3.4s) gap 0.5  the chain that he actually built and the strongest case against him too.
[012]   72.71-  74.67 ( 2.0s) gap 1.1  then you decide. Then at the end.
[013]   75.11-  77.49 ( 2.4s) gap 0.4  I'll tell you exactly where I land.
[014]   77.92-  78.88 ( 1.0s) gap 0.4  and why.
[015]   80.75-  85.61 ( 4.9s) gap 1.9  So where does this guy come from? Before the white papers? Before Casper? Before any of it?
[016]   87.52-  93.89 ( 6.4s) gap 1.9  Yonatan was born and raised in Israel, and the Samplinski name carries a story that most people have no idea about.
[017]   95.72-  97.36 ( 1.6s) gap 1.8  His grandfather, David.
[018]   97.82- 103.46 ( 5.6s) gap 0.5  was a World War II hero who worked with the Danish resistance to smuggle hundreds of Jews
[036]  207.68- 213.75 ( 6.1s) gap 1.3  It's sort of like when you speed up Bitcoin, the blocks start getting created faster than the network can agree on.
[037]  215.51- 218.95 ( 3.4s) gap 1.8  So there's lots of valid blocks getting orphaned and thrown away.
[038]  220.57- 230.01 ( 9.4s) gap 1.6  and throwing them away weakens security. Ghost says stop ignoring Noah's orphan blocks. Count their work too when you decide which branch is the real one.
[039]  230.98- 243.55 (12.6s) gap 1.0  Pick the heaviest observed subtree, not the longest single line. This is the careful part. Ethereum's white paper cites this exact paper. And early Ethereum used a simplified version of the idea.
[040]  244.17- 245.29 ( 1.1s) gap 0.6  The Uncle Reward.
[041]  246.01- 254.73 ( 8.7s) gap 0.7  paying miners a little for their orphan block so that the network stays secure at fast block times. And this is not me connecting the dots after the fact.
[042]  255.30- 261.11 ( 5.8s) gap 0.6  Watch this. This is a real talk from a 2017 meetup in Brooklyn. A guy from the iota network.
[043]  261.64- 265.16 ( 3.5s) gap 0.5  Listen to who he credits. Ghosts and spectra by name.
[044]  265.64- 288.91 (23.3s) gap 0.5  as Sampalitsky and Zohar's work. People in the DAG world were studying this man from years ago. Now Ghosts only patched Bitcoin's tree, but it still kept one single file chain. The next idea threw this single chain out completely. Now this goes back to the talk that I just showed you. The guy on stage walked through Ghosts and Spectre. Three years after Ghosts, in 2016,
[045]  289.28- 295.77 ( 6.5s) gap 0.4  Sam Polinsky teamed up with Aviv Zohar and a third researcher, Yod Lewenberg, on this second protocol.
[046]  296.99- 304.62 ( 7.6s) gap 1.2  And if you never heard of it, that's the whole point. This is deep academic research that never had a marketing department behind it. Spectre is an acronym.
[047]  305.39- 307.12 ( 1.7s) gap 0.8  It stands for serialization.
[048]  307.58- 310.65 ( 3.1s) gap 0.5  of proof of work events, confirming transactions.
[049]  311.01- 316.80 ( 5.8s) gap 0.4  via recursive elections. And no, I don't think you need to remember a single word of that, but
[050]  317.37- 324.92 ( 7.6s) gap 0.6  Spectre is a from the ground up design for a cryptocurrency that does not use a blockchain at all. It's not a coin that you can go buy.
[051]  326.16- 327.68 ( 1.5s) gap 1.2  It's the research blueprint.
[052]  328.15- 333.20 ( 5.1s) gap 0.5  the real chain gets built from later. Bitcoin lines up blocks one behind another.
[053]  333.54- 334.50 ( 1.0s) gap 0.3  Single file.
[054]  334.86- 335.91 ( 1.0s) gap 0.4  every 10 minutes.
[055]  336.41- 338.91 ( 2.5s) gap 0.5  Spectre lets blocks be created in parallel.
[056]  339.41- 345.84 ( 6.4s) gap 0.5  many at the same moment, and each new block points back to several earlier ones. Instead of a chain, you get a web.
[057]  347.11- 359.34 (12.2s) gap 1.3  That web is a dag, a directed acyclic graph. The point of the web is speed. Nobody is stuck waiting in a single file line. The obvious problem with the web is, which block came first?
[058]  359.82- 366.46 ( 6.6s) gap 0.5  Spectra's answer is to let the blocks vote. Each new block effectively casts a vote on the order of the older ones.
[059]  366.76- 375.88 ( 9.1s) gap 0.3  You tally the votes and that settles it. That's the recursive elections part of the name. Voting is fast and it's great for one specific question.
[060]  376.35- 398.19 (21.8s) gap 0.5  Did payment A happen before payment B? But it does not hand you a single master list of every transaction in order. And you need the master list to run things like smart contracts. Spectre nailed the head to head but not the full line up. So Sanpaliski and Zohar took one more step and generalized Ghost onto the web. Ghost Dag keeps every honestly created block.
[061]  398.65- 402.94 ( 4.3s) gap 0.5  and uses how well connected each block is to pick out the honest cluster.
[062]  403.63- 407.40 ( 3.8s) gap 0.7  then lays all of them down in one agreed order. That's the whole leap.
[063]  407.70- 423.54 (15.8s) gap 0.3  Bitcoin keeps one block and burns the rest ghost egg keeps them all and still agrees on the order And that's the engine under casper By the way, click that like and click the subscribe button if you're not subscribed already if you like this content If you want to see more of it, of course
[064]  423.86- 433.16 ( 9.3s) gap 0.3  Click that like button and while you're at it, click the link in the description below. We got tons of tech and we got the most amazing calls ever. We outperform everybody.
[065]  433.48- 434.33 ( 0.8s) gap 0.3  I'm serious.
[066]  434.70- 435.88 ( 1.2s) gap 0.4  Click the link in the description.
[067]  436.44- 438.24 ( 1.8s) gap 0.6  So papers are cheap.
[068]  440.04- 444.22 ( 4.2s) gap 1.8  Crypto is full of brilliant white papers and never come to a living network.
[069]  445.26- 450.45 ( 5.2s) gap 1.0  The thing that separates Sam Polinsky from a pure academic is that he actually shipped.
[070]  452.27- 453.43 ( 1.2s) gap 1.8  In 2021.
[071]  453.84- 457.87 ( 4.0s) gap 0.4  Ghostag went from a PDF to a live proof of work layer one.
[072]  458.42- 462.05 ( 3.6s) gap 0.5  and then launch yourself as part of a genius case. No pre-mind.
[073]  462.35- 466.19 ( 3.8s) gap 0.3  No ICO, no pre-sale, no insider allocation.
[074]  467.50- 481.03 (13.5s) gap 1.3  A founder who could have minted himself a fortune chose to launch it the hard, credibly neutral way. This is a deliberate choice, and it's the opposite of a hype grift. And he did not stop. With Michael Sutton, he co-authored Dag Night.
[075]  481.46- 486.23 ( 4.8s) gap 0.4  a parameterless responsive consensus that adapts to network conditions.
[076]  486.69- 487.94 ( 1.2s) gap 0.5  instead of hard coding them.
[077]  489.95- 505.74 (15.8s) gap 2.0  That research didn't freeze in 2013. A real engine, a live chain, a clean network, and the next protocol actually written. That's not a man resting on a 2013 citation. But let's be honest, here's the other side. If I only give you the genius case.
[078]  506.63- 508.35 ( 1.7s) gap 0.9  I'm selling you, not informing you.
[079]  509.52- 516.84 ( 7.3s) gap 1.2  So here's the strongest version of overrated straight. Being cited in the Ethereum white paper is not the same as Ethereum depending on you.
[080]  517.86- 523.55 ( 5.7s) gap 1.0  Full Ghost was never the live fork choice. What shipped was a simplified uncle reward.
[081]  525.53- 526.72 ( 1.2s) gap 2.0  A footnote in history.
[082]  527.09- 528.82 ( 1.7s) gap 0.4  is not a throne. Zohar.
[083]  529.28- 531.48 ( 2.2s) gap 0.5  Lewinburg, Wyborski, Sutton.
[084]  531.93- 536.45 ( 4.5s) gap 0.5  These papers were co-authored. The Casper Communities, One Lone Genius Story.
[085]  536.80- 543.72 ( 6.9s) gap 0.4  flattens a body of collaborative academic work into a cult of personality. IOTIS Tangle, Nano, Hashgraph
[086]  544.11- 550.97 ( 6.9s) gap 0.4  and others chased dag style ledgers in parallel. The idea of blocks in the graph was in the water. For all the research.
[087]  551.46- 554.94 ( 3.5s) gap 0.5  Casper is a fraction of the size of all the changes compared to.
[088]  556.14- 559.17 ( 3.0s) gap 1.2  If the tech is this far ahead as skeptic asks.
[089]  559.52- 564.67 ( 5.1s) gap 0.3  Why is the market not pricing a genius? Yes, haters are everywhere.
[090]  565.21- 567.47 ( 2.3s) gap 0.5  He's not a messiah, of course.
[091]  568.54- 569.69 ( 1.1s) gap 1.1  So what's the verdict?
[092]  570.16- 573.34 ( 3.2s) gap 0.5  So the cult framing loses. He's not a messiah.
[093]  573.79- 581.28 ( 7.5s) gap 0.4  He didn't invent dags alone, and a citation is not a coronation. But strip all that away and look at what's still standing.
[094]  582.00- 591.23 ( 9.2s) gap 0.7  A 2013 idea cited by the second biggest network in crypto. A line of protocols. Ghost to Spectre to Ghostag to Dagnight.
[095]  592.02- 597.21 ( 5.2s) gap 0.8  Each one solving what the latest one left open. And a live chain, fairly launched.
[096]  597.65- 601.03 ( 3.4s) gap 0.4  running the thing he proved on paper. Overrated men.
[097]  601.38- 615.77 (14.4s) gap 0.4  have one good year and a loud fan club. This man has a decade of work that other people keep building on. So that's not overrated. This is a quiet genius. The timeline is too distracted to notice.
[098]  616.63- 625.44 ( 8.8s) gap 0.9  And the market noticing late is exactly the asymmetry I look for. Tell me in the comments, genius or overrated. I already told you mine.
